threshold,precision,recall,f_beta
-2.5713816,0.784875,1.0,0.8794733524751708
-2.5681548,0.7849240577536096,1.0,0.879504149595053
-2.4688673,0.784973121640205,1.0,0.8795349488718984
-2.3637214,0.7850221916609365,1.0,0.8795657503059333
-2.3173723,0.7850712678169542,1.0,0.8795965538973849
-2.3019834,0.7851203501094092,1.0,0.8796273596464795
-2.2940006,0.7851694385394523,1.0,0.8796581675534438
-2.2852468,0.7852185331082349,1.0,0.8796889776185047
-2.2750468,0.7852676338169085,1.0,0.8797197898418889
-2.2531319,0.7853167406666249,1.0,0.8797506042238233
-2.221929,0.7853658536585366,1.0,0.8797814207645345
-2.2041998,0.7854149727937957,1.0,0.8798122394642496
-2.1795578,0.7854640980735552,1.0,0.8798430603231953
-2.1680727,0.785513229498968,1.0,0.8798738833415987
-2.150834,0.7855623670711873,1.0,0.8799047085196866
-2.119347,0.7856115107913669,1.0,0.8799355358576861
-2.1176147,0.7856606606606606,1.0,0.8799663653558242
-2.0812292,0.7857098166802228,1.0,0.879997197014328
-2.0687423,0.7857589788512076,1.0,0.8800280308334245
-2.0487146,0.78580814717477,1.0,0.8800588668133408
-2.0341563,0.7858573216520651,1.0,0.8800897049543044
-2.0268207,0.7859065022842481,1.0,0.8801205452565418
-2.026495,0.7859556890724747,1.0,0.880151387720281
-2.018468,0.7860048820179008,1.0,0.8801822323457487
-2.0081897,0.7860540811216825,1.0,0.8802130791331723
-2.0045261,0.7861032863849765,1.0,0.8802439280827792
-2.0032883,0.7861524978089395,1.0,0.8802747791947967
-1.9928082,0.7862017153947286,1.0,0.8803056324694521
-1.9908682,0.7862509391435011,1.0,0.8803364879069729
-1.9835407,0.7863001690564148,1.0,0.8803673455075866
-1.9746314,0.7863494051346275,1.0,0.8803982052715206
-1.96583,0.7863986473792974,1.0,0.8804290671990024
-1.9588546,0.7864478957915831,1.0,0.8804599312902595
-1.9554156,0.7864971503726436,1.0,0.8804907975455194
-1.9447011,0.7865464111236378,1.0,0.8805216659650098
-1.9394306,0.786595678045725,1.0,0.8805525365489584
-1.9351691,0.7866449511400652,1.0,0.8805834092975927
-1.9172169,0.786694230407818,1.0,0.8806142842111406
-1.9148353,0.7867435158501441,1.0,0.8806451612898297
-1.9147183,0.7867928074682038,1.0,0.8806760405338877
-1.911148,0.7867794486215539,0.9999203694855868,0.8806367907983008
