update,train_size,train_fraction,monitor_hinge_loss,violation_rate,fit_seconds
1,32000,0.2500019531402589,0.6299272991906761,0.915625,0.813469648361206
2,64000,0.5000039062805178,0.6256758431834605,0.910875,1.932542324066162
3,95999,0.7499980468597411,0.625857266918348,0.9116875,2.438281536102295
4,127999,1.0,0.626265730851387,0.91175,3.628082752227783
