threshold,precision,recall,f_beta
-3.3649443241670536,0.784875,1.0,0.8794733524751708
-3.2918162675303786,0.7849240577536096,1.0,0.879504149595053
-3.2771215374299056,0.784973121640205,1.0,0.8795349488718984
-3.1350554127170147,0.7850221916609365,1.0,0.8795657503059333
-2.9615142077910632,0.7850712678169542,1.0,0.8795965538973849
-2.907112930768447,0.7851203501094092,1.0,0.8796273596464795
-2.8883404343806864,0.7851694385394523,1.0,0.8796581675534438
-2.8522207092646195,0.7852185331082349,1.0,0.8796889776185047
-2.830462826684893,0.7852676338169085,1.0,0.8797197898418889
-2.761320451909869,0.7853167406666249,1.0,0.8797506042238233
-2.760716198217763,0.7853658536585366,1.0,0.8797814207645345
-2.7276871226636348,0.7854149727937957,1.0,0.8798122394642496
-2.705218755492165,0.7854640980735552,1.0,0.8798430603231953
-2.636418925399543,0.785513229498968,1.0,0.8798738833415987
-2.6155391123569562,0.7855623670711873,1.0,0.8799047085196866
-2.5557470951738,0.7856115107913669,1.0,0.8799355358576861
-2.542975347857874,0.7856606606606606,1.0,0.8799663653558242
-2.5318614263147587,0.7857098166802228,1.0,0.879997197014328
-2.5155827014799303,0.7857589788512076,1.0,0.8800280308334245
-2.5006923774196093,0.78580814717477,1.0,0.8800588668133408
-2.500134066136398,0.7858573216520651,1.0,0.8800897049543044
-2.48018715416911,0.7859065022842481,1.0,0.8801205452565418
-2.4560904948200486,0.7859556890724747,1.0,0.880151387720281
-2.4461577685556493,0.7860048820179008,1.0,0.8801822323457487
-2.3711424485821,0.7860540811216825,1.0,0.8802130791331723
-2.3519920802644796,0.7861032863849765,1.0,0.8802439280827792
-2.2820915016173213,0.7861524978089395,1.0,0.8802747791947967
-2.2250961234161903,0.7862017153947286,1.0,0.8803056324694521
-2.1814588113731315,0.7862509391435011,1.0,0.8803364879069729
-2.1780757434311218,0.7863001690564148,1.0,0.8803673455075866
-2.1448770110733206,0.7863494051346275,1.0,0.8803982052715206
-2.139367609883696,0.7863986473792974,1.0,0.8804290671990024
-2.1277076526382173,0.7864478957915831,1.0,0.8804599312902595
-2.123885398344004,0.7864971503726436,1.0,0.8804907975455194
-2.1183259693934637,0.7865464111236378,1.0,0.8805216659650098
-2.1174961729118884,0.786595678045725,1.0,0.8805525365489584
-2.116847841762372,0.7866449511400652,1.0,0.8805834092975927
-2.109534901459384,0.786694230407818,1.0,0.8806142842111406
