update,n_core,monitor_hinge_loss,violation_rate,support_vectors,fit_seconds
1,500,1.1726289452441072,0.966,430,0.04636216163635254
2,1000,1.1387109608143762,0.9614,841,0.1819159984588623
3,2000,1.1768885378517917,0.9566,1659,0.7081918716430664
4,3000,1.1552023723891005,0.9503,2447,1.8846309185028076
