update,epoch,batch,learning_rate,hinge_loss,regularization_loss,total_loss,violation_rate
1,1,1,0.05,0.8765815496444702,1.5466191107407214e-07,0.8765817043063813,0.99951171875
2,1,2,0.035355339059327376,0.808304488658905,4.277234431356192e-07,0.8083049163823481,0.990234375
3,1,3,0.02886751345948129,0.7523272633552551,7.099461276084185e-07,0.7523279733013828,0.95361328125
4,1,4,0.025,0.7225143909454346,9.414982050657273e-07,0.7225153324436396,0.94580078125
5,1,5,0.022360679774997897,0.7386446595191956,1.097614783793688e-06,0.7386457571339794,0.9453125
6,1,6,0.020412414523193152,0.7274996638298035,1.2430180795490743e-06,0.727500906847883,0.9462890625
7,1,7,0.01889822365046136,0.7100059390068054,1.3869751244783402e-06,0.71000732598193,0.94189453125
8,1,8,0.017677669529663688,0.6963761448860168,1.502387598156929e-06,0.696377647273615,0.92529296875
9,1,9,0.016666666666666666,0.6929330825805664,1.6411371529102325e-06,0.6929347237177194,0.9404296875
10,1,10,0.015811388300841896,0.687751054763794,1.768828369677067e-06,0.6877528235921636,0.935546875
11,1,11,0.015075567228888182,0.675117015838623,1.8960090354084969e-06,0.6751189118476585,0.93408203125
12,1,12,0.014433756729740645,0.6514719724655151,2.0179105922579767e-06,0.6514739903761074,0.9228515625
13,1,13,0.01386750490563073,0.6669835448265076,2.128070592880249e-06,0.6669856728971004,0.92626953125
14,1,14,0.01336306209562122,0.6824726462364197,2.2229760885238647e-06,0.6824748692125082,0.92626953125
15,1,15,0.012909944487358056,0.6356786489486694,2.3329760879278184e-06,0.6356809819247574,0.912109375
16,1,16,0.0125,0.6689345240592957,2.4235673248767854e-06,0.6689369476266205,0.91943359375
17,1,17,0.012126781251816649,0.6552214622497559,2.524753659963608e-06,0.6552239870034158,0.9189453125
18,1,18,0.011785113019775794,0.643449604511261,2.619173564016819e-06,0.643452223684825,0.904296875
19,1,19,0.011470786693528088,0.6384440660476685,2.7083741500973705e-06,0.6384467744218185,0.90234375
20,1,20,0.011180339887498949,0.6221989393234253,2.7991855517029764e-06,0.622201738508977,0.89111328125
21,1,21,0.010910894511799621,0.6357743144035339,2.886088564991951e-06,0.635777200492099,0.88330078125
22,1,22,0.010660035817780522,0.6312201619148254,2.9682019725441934e-06,0.631223130116798,0.8828125
23,1,23,0.01042572070285374,0.6264085173606873,3.05179487913847e-06,0.6264115691555664,0.88232421875
24,1,24,0.010206207261596576,0.6237427592277527,3.133191540837288e-06,0.6237458924192936,0.88232421875
25,1,25,0.01,0.6082138419151306,3.2053906470537187e-06,0.6082170473057776,0.8544921875
26,1,26,0.009805806756909202,0.6222759485244751,3.2678760588169098e-06,0.622279216400534,0.8525390625
27,1,27,0.009622504486493762,0.6247026920318604,3.335980698466301e-06,0.6247060280125588,0.8603515625
28,1,28,0.00944911182523068,0.6300047636032104,3.391116112470627e-06,0.6300081547193229,0.85302734375
29,1,29,0.009284766908852594,0.6008049845695496,3.4564536064863205e-06,0.600808441023156,0.84521484375
30,1,30,0.009128709291752768,0.6337559819221497,3.5144228488206865e-06,0.6337594963449985,0.84814453125
31,1,31,0.008980265101338746,0.5906633734703064,3.571116551756859e-06,0.5906669445868582,0.814453125
32,1,32,0.008838834764831844,0.606211245059967,3.624960780143738e-06,0.6062148700207471,0.82568359375
33,1,33,0.008703882797784893,0.5826066732406616,3.677356615662575e-06,0.5826103505972773,0.81689453125
34,1,34,0.008574929257125443,0.608417809009552,3.7218701094388962e-06,0.6084215308796614,0.82470703125
35,1,35,0.008451542547285166,0.6185609102249146,3.7735074758529665e-06,0.6185646837323904,0.82666015625
36,1,36,0.008333333333333333,0.6058403253555298,3.822050243616104e-06,0.6058441474057734,0.81982421875
37,1,37,0.008219949365267865,0.5903865694999695,3.873014077544213e-06,0.590390442514047,0.81298828125
38,1,38,0.008111071056538128,0.6111752986907959,3.9114903658628465e-06,0.6111792101811617,0.8037109375
39,1,39,0.008006407690254357,0.5840315818786621,3.9511628448963166e-06,0.584035533041507,0.79443359375
40,1,40,0.007905694150420948,0.6083711981773376,3.990380838513375e-06,0.6083751885581762,0.80517578125
41,1,41,0.007808688094430304,0.6489117741584778,4.018760845065117e-06,0.6489157929193229,0.80859375
42,1,42,0.007715167498104596,0.6066927909851074,4.0637753903865814e-06,0.6066968547604978,0.8046875
43,1,43,0.007624928516630234,0.6081351637840271,4.098427668213845e-06,0.6081392622116953,0.78955078125
