rank_by_validation_f1,rank_by_test_f1,experiment,category,models,threshold,validation_precision,validation_recall,validation_f1,accuracy,precision,recall,f1,roc_auc,pr_auc,training_seconds,output_directory
1,1,Baseline Standard LinearSVC,Baseline,Standard sklearn LinearSVC,-0.5052092270121976,0.8675815490731427,0.9615384615384616,0.9121468499768393,0.852175,0.8656373758824543,0.9607899347029781,0.9107350432511586,0.8540532190947772,0.9473540936742217,8.954353094100952,seer_svm_full_experiment_outputs\experiments\baseline_standard_linearsvc
2,2,Standalone Linear-SGD-SVM,Standalone,Linear-SGD-SVM,-1.051930546760559,0.8687599479091304,0.9562032170727823,0.9103866565574996,0.849475,0.8661471861471861,0.9559483994266603,0.9088348853054735,0.8467449127853846,0.9444569171964438,1.4158430099487305,seer_svm_full_experiment_outputs\experiments\standalone_linear_sgd_svm
3,4,Ablation Drop RBF-SGD,Pairwise ablation,CVM-RBF + Linear-SGD-SVM,-0.138543963432312,0.8591469462944594,0.9655996177735309,0.9092681463702275,0.8432,0.854654281600271,0.9641981207198599,0.9061274583171192,0.837670730182667,0.9406334041743982,15.112124681472778,seer_svm_full_experiment_outputs\experiments\ablation_drop_rbf_sgd
4,3,Ablation Drop CVM-RBF,Pairwise ablation,Linear-SGD-SVM + RBF-Sampler-SGD-SVM,-0.376697838306427,0.8575060019771219,0.967032967032967,0.9089820359276454,0.8439,0.8536317876325188,0.9669055582099061,0.9067447278809965,0.8336405858918049,0.9382935847926087,4.438213109970093,seer_svm_full_experiment_outputs\experiments\ablation_drop_cvm_rbf
5,5,Full 3-Model Stacking Pipeline,Full pipeline,CVM-RBF + Linear-SGD-SVM + RBF-Sampler-SGD-SVM,-0.2636687755584717,0.8634275871967848,0.9580347189042842,0.9082741959831946,0.843225,0.8589553091781917,0.9574773053033923,0.9055444262023467,0.8307023115243816,0.9370578117052871,17.889450788497925,seer_svm_full_experiment_outputs\experiments\full_3_model_stacking_pipeline
6,6,Standalone RBF-Sampler-SGD-SVM,Standalone,RBF-Sampler-SGD-SVM,0.015465802513062954,0.8343288705801579,0.967670011148272,0.8960660693871072,0.819975,0.8310437305018883,0.967287784679089,0.8940047396852967,0.7920621952721592,0.9203180817545402,2.81656813621521,seer_svm_full_experiment_outputs\experiments\standalone_rbf_sampler_sgd_svm
7,7,Ablation Drop Linear-SGD,Pairwise ablation,CVM-RBF + RBF-Sampler-SGD-SVM,-0.24929273128509521,0.824512910402481,0.9738811912724956,0.892994049139732,0.813275,0.8212751101084972,0.9740723045070871,0.8911716279815244,0.78097072974773,0.9158840226727186,16.52949547767639,seer_svm_full_experiment_outputs\experiments\ablation_drop_linear_sgd
8,8,Standalone CVM-RBF,Standalone,CVM-RBF,-2.1282076349660053,0.784875,1.0,0.8794733524751708,0.784875,0.784875,1.0,0.8794733524756636,0.362964727800137,0.7189199711305877,13.50626802444458,seer_svm_full_experiment_outputs\experiments\standalone_cvm_rbf
