threshold,precision,recall,f_beta
-0.76441884,0.784875,1.0,0.8794733524751708
-0.7639531,0.7849240577536096,1.0,0.879504149595053
-0.76073205,0.784973121640205,1.0,0.8795349488718984
-0.75333965,0.7850221916609365,1.0,0.8795657503059333
-0.7493706,0.7850712678169542,1.0,0.8795965538973849
-0.7475097,0.7851203501094092,1.0,0.8796273596464795
-0.7312479,0.7851694385394523,1.0,0.8796581675534438
-0.7249603,0.7852185331082349,1.0,0.8796889776185047
-0.7240976,0.7852676338169085,1.0,0.8797197898418889
-0.72272515,0.7853167406666249,1.0,0.8797506042238233
-0.7211976,0.7853033145716073,0.9999203694855868,0.8797113633174278
-0.72028446,0.7853524297954844,0.9999203694855868,0.879742179563034
-0.7187158,0.7853390042531899,0.9998407389711738,0.8797029356122026
-0.7163869,0.7853881278538812,0.9998407389711738,0.8797337537217003
-0.7095897,0.7854372576004004,0.9998407389711738,0.8797645739905386
-0.70497096,0.7854863934939005,0.9998407389711738,0.8797953964189446
-0.69154036,0.7855355355355356,0.9998407389711738,0.8798262210071451
-0.6905401,0.7855846837264594,0.9998407389711738,0.8798570477553671
-0.6888832,0.7856338380678263,0.9998407389711738,0.8798878766638379
-0.68762887,0.7856829985607909,0.9998407389711738,0.8799187077327844
-0.6870991,0.7857321652065081,0.9998407389711738,0.8799495409624337
-0.6841084,0.785781338006133,0.9998407389711738,0.8799803763530131
-0.6808547,0.7857679309049944,0.9997611084567606,0.8799411269969839
-0.6792635,0.7858171120986418,0.9997611084567606,0.8799719642539314
-0.67773473,0.7858662994491737,0.9997611084567606,0.8800028036723185
-0.6731343,0.7859154929577464,0.9997611084567606,0.8800336452523722
-0.67213833,0.7859646926255165,0.9997611084567606,0.8800644889943199
-0.6685654,0.7860138984536406,0.9997611084567606,0.880095334898389
-0.6615863,0.7860631104432757,0.9997611084567606,0.8801261829648068
-0.653543,0.7861123285955794,0.9997611084567606,0.8801570331938006
-0.65007687,0.7861615529117094,0.9997611084567606,0.8801878855855979
-0.64848113,0.7862107833928236,0.9997611084567606,0.8802187401404261
-0.64797294,0.7862600200400801,0.9997611084567606,0.8802495968585129
-0.6479602,0.7863092628546376,0.9997611084567606,0.8802804557400856
-0.6437533,0.786358511837655,0.9997611084567606,0.8803113167853716
-0.6403761,0.7864077669902912,0.9997611084567606,0.8803421799945987
-0.63924646,0.7863943873715861,0.9996814779423475,0.8803029240581284
-0.634338,0.7864436509428052,0.9996814779423475,0.8803337891373353
-0.63375163,0.7864929206866308,0.9996814779423475,0.8803646563809938
-0.6336305,0.7865421966042228,0.9996814779423475,0.8803955257893314
-0.63349366,0.7865914786967418,0.9996814779423475,0.880426397362576
-0.63334894,0.7866407669653487,0.9996814779423475,0.8804572711009554
-0.6328846,0.7866273969169069,0.9996018474279343,0.880418010940733
-0.63170886,0.7866766936140879,0.9996018474279343,0.8804488865504453
-0.6316328,0.7866633241413888,0.9995222169135213,0.8804096233424265
-0.63119924,0.7867126292698213,0.9995222169135213,0.8804405008236925
-0.6308093,0.7867619405791652,0.9995222169135213,0.8804713804708876
-0.63046396,0.7868112580705824,0.9995222169135213,0.8805022622842393
-0.63013947,0.7868605817452357,0.9995222169135213,0.8805331462639756
-0.62962806,0.7869099116042881,0.9995222169135213,0.8805640324103248
-0.62751687,0.7869592476489028,0.9995222169135213,0.8805949207235143
-0.62744033,0.7870085898802432,0.9995222169135213,0.8806258112037726
-0.62718403,0.7870579382994732,0.9995222169135213,0.8806567038513278
-0.6265135,0.7871072929077569,0.9995222169135213,0.8806875986664077
-0.6251199,0.7871566537062586,0.9995222169135213,0.8807184956492403
-0.6232647,0.787206020696143,0.9995222169135213,0.8807493948000543
-0.62200654,0.787255393878575,0.9995222169135213,0.8807802961190776
-0.62136364,0.7873047732547199,0.9995222169135213,0.8808111996065383
-0.6211076,0.7872914314389663,0.9994425863991081,0.8807719298240684
-0.6205635,0.7872780879493131,0.999362955884695,0.8807326572857276
-0.6205163,0.78732747804266,0.999362955884695,0.88076356235476
-0.61972797,0.7873768743333961,0.999362955884695,0.8807944695927975
-0.6193571,0.787426276822688,0.999362955884695,0.8808253790000686
-0.6189743,0.7874756855117023,0.999362955884695,0.8808562905768013
-0.61783206,0.7874623493975904,0.9992833253702819,0.8808170141077403
-0.61475074,0.7874490116096643,0.9992036948558688,0.8807777348817588
-0.61439204,0.7874984310279904,0.9992036948558688,0.8808086480410625
-0.61152256,0.7875478566497207,0.9992036948558688,0.8808395633703962
-0.6114863,0.7875972884760231,0.9992036948558688,0.8808704808699879
-0.61048627,0.7875839558094282,0.9991240643414556,0.880831198005755
-0.6094558,0.7876333961079723,0.9991240643414556,0.8808621173822646
-0.607198,0.7876828426141,0.9991240643414556,0.8808930389295452
-0.6062592,0.7876695128076343,0.9990444338270426,0.8808537527201417
-0.6045742,0.7877189677905444,0.9990444338270426,0.8808846761448467
-0.60440195,0.7877684289840512,0.9990444338270426,0.8809156017408354
-0.6042142,0.787817896389325,0.9990444338270426,0.8809465295083369
-0.5999404,0.7878673700075358,0.9990444338270426,0.8809774594475795
-0.59855485,0.7878540476040947,0.9989648033126294,0.88093816930536
-0.59676063,0.787840723527195,0.9988851727982163,0.8808988764040012
-0.59504163,0.7878902079015138,0.9988851727982163,0.8809298079281562
-0.5934268,0.7879396984924623,0.9988851727982163,0.8809607416246211
-0.59168196,0.7879891953012124,0.9988851727982163,0.880991677493625
-0.5912436,0.7880386983289358,0.9988851727982163,0.8810226155353968
-0.59091735,0.7880882075768046,0.9988851727982163,0.8810535557501653
-0.59067404,0.7881377230459915,0.9988851727982163,0.8810844981381597
-0.5906428,0.7881872447376689,0.9988851727982163,0.8811154426996087
-0.59046793,0.78823677265301,0.9988851727982163,0.8811463894347417
-0.590176,0.7882234650914347,0.9988055422838031,0.8811070914258706
-0.58919287,0.7882730015082956,0.9988055422838031,0.8811380400416565
-0.58745956,0.7883225441518447,0.9988055422838031,0.8811689908316401
-0.58618927,0.7883720930232558,0.9988055422838031,0.8811999437960504
-0.5861075,0.7884216481237035,0.9988055422838031,0.8812308989351165
-0.5860698,0.7884712094543626,0.9988055422838031,0.8812618562490676
-0.5856432,0.7885207770164079,0.9988055422838031,0.8812928157381333
-0.5852816,0.7885703508110147,0.9988055422838031,0.8813237774025422
-0.58463705,0.7885570575290789,0.9987259117693901,0.8812844745805419
-0.58308494,0.7886066398390342,0.9987259117693901,0.8813154381275372
-0.58292806,0.7886562283845815,0.9987259117693901,0.8813464038503905
-0.58211887,0.7887058231668972,0.9987259117693901,0.8813773717493312
-0.581648,0.788755424187158,0.9987259117693901,0.8814083418245886
-0.58152676,0.7888050314465409,0.9987259117693901,0.8814393140763921
-0.5808085,0.788854644946223,0.9987259117693901,0.8814702885049712
-0.5794753,0.7888413636935464,0.9986462812549769,0.881430981163409
-0.5777174,0.7888280807699566,0.9985666507405638,0.8813916710590746
-0.57634497,0.7888777050830398,0.9985666507405638,0.8814226470790035
-0.5763222,0.7889273356401384,0.9985666507405638,0.881453625276279
-0.5754689,0.7889769724424311,0.9985666507405638,0.8814846056511307
-0.5742444,0.7889636947083621,0.9984870202261507,0.881445291904888
-0.57407916,0.7890133400453058,0.9984870202261507,0.881476274164709
-0.5733597,0.7890629916304827,0.9984870202261507,0.8815072586026211
-0.5721706,0.7891126494650724,0.9984870202261507,0.8815382452188544
-0.5718807,0.7891623135502549,0.9984870202261507,0.8815692340136384
-0.57176197,0.7892119838872105,0.9984870202261507,0.8816002249872027
-0.5713315,0.7892616604771197,0.9984870202261507,0.8816312181397775
-0.57112265,0.7893113433211633,0.9984870202261507,0.8816622134715922
-0.5710163,0.7893610324205225,0.9984870202261507,0.881693210982877
-0.5687269,0.7894107277763788,0.9984870202261507,0.8817242106738618
-0.5685561,0.789397468992004,0.9984073897117376,0.8816848915293405
-0.5682142,0.7894471729001385,0.9984073897117376,0.881715893107805
-0.5679159,0.7894339147408853,0.9983277591973244,0.8816765709056568
-0.5666013,0.7894836272040302,0.9983277591973244,0.8817075743718256
-0.56531227,0.7895333459285849,0.9983277591973244,0.8817385800184961
-0.5651095,0.7895830709157324,0.9983277591973244,0.8817695878458987
-0.56408215,0.7896328021666562,0.9983277591973244,0.8818005978542632
-0.5639882,0.7896825396825397,0.9983277591973244,0.8818316100438198
-0.56379175,0.7896692913385827,0.9982481286829112,0.8817922836136172
-0.5636909,0.78971903741968,0.9982481286829112,0.8818232976922473
-0.5633899,0.7897687897687897,0.9982481286829112,0.8818543139525861
-0.5632812,0.7897555443548387,0.9981684981684982,0.8818149841711564
-0.56241536,0.7898053052737698,0.9981684981684982,0.8818460023210799
-0.5617782,0.7898550724637681,0.9981684981684982,0.8818770226532284
-0.5615828,0.7899048459260193,0.9981684981684982,0.8819080451678326
-0.56096923,0.7899546256617092,0.9981684981684982,0.8819390698651228
-0.5596461,0.7900044116720237,0.9981684981684982,0.8819700967453291
-0.55930245,0.7900542039581495,0.9981684981684982,0.8820011258086821
-0.5588541,0.7901040025212732,0.9981684981684982,0.882032157055412
-0.55859256,0.7901538073625819,0.9981684981684982,0.8820631904857498
-0.55848384,0.7902036184832629,0.9981684981684982,0.8820942260999254
-0.55730164,0.7902534358845038,0.9981684981684982,0.8821252638981696
-0.5559746,0.7903032595674926,0.9981684981684982,0.882156303880713
-0.55595577,0.7903530895334174,0.9981684981684982,0.882187346047786
-0.5555614,0.7904029257834668,0.9981684981684982,0.8822183903996194
-0.55361307,0.7904527683188296,0.9981684981684982,0.8822494369364436
-0.5534992,0.7905026171406949,0.9981684981684982,0.8822804856584896
-0.55275404,0.7905524722502523,0.9981684981684982,0.8823115365659882
-0.5517862,0.7906023336486913,0.9981684981684982,0.8823425896591696
-0.550467,0.7905891257726757,0.998088867654085,0.8823032521464867
-0.5502851,0.7906389957736706,0.998088867654085,0.8823343071340672
-0.54999435,0.7906888720666162,0.998088867654085,0.8823653643078488
-0.5498456,0.7907387546527033,0.998088867654085,0.8823964236680624
-0.5494518,0.7907886435331231,0.998088867654085,0.8824274852149391
-0.54893804,0.7907754432456306,0.9980092371396719,0.882388143766888
-0.548774,0.7908253407370015,0.9980092371396719,0.8824192072092512
-0.547539,0.7908752445257777,0.9980092371396719,0.8824502728387955
-0.5472437,0.7908620472043418,0.9979296066252588,0.8824109280378112
-0.5470631,0.7909119596087094,0.9979296066252588,0.8824419955633555
-0.5453627,0.7909618783135571,0.9979296066252588,0.8824730652765999
-0.54422784,0.7910118033200783,0.9979296066252588,0.882504137177775
-0.5407115,0.7910617346294659,0.9979296066252588,0.8825352112671122
-0.5405518,0.791111672242914,0.9979296066252588,0.8825662875448428
-0.5403148,0.7911616161616162,0.9979296066252588,0.8825973660111976
-0.53838587,0.7912115663867668,0.9979296066252588,0.882628446666408
