threshold,precision,recall,f_beta
-2.5296502,0.784875,1.0,0.8794733524751708
-2.5224771,0.7849240577536096,1.0,0.879504149595053
-2.383379,0.784973121640205,1.0,0.8795349488718984
-2.3108249,0.7850221916609365,1.0,0.8795657503059333
-2.2646923,0.7850712678169542,1.0,0.8795965538973849
-2.249107,0.7851203501094092,1.0,0.8796273596464795
-2.2465396,0.7851694385394523,1.0,0.8796581675534438
-2.1368923,0.7852185331082349,1.0,0.8796889776185047
-2.1362066,0.7852676338169085,1.0,0.8797197898418889
-2.1306295,0.7853167406666249,1.0,0.8797506042238233
-2.104704,0.7853658536585366,1.0,0.8797814207645345
-2.0839715,0.7854149727937957,1.0,0.8798122394642496
-2.0662122,0.7854640980735552,1.0,0.8798430603231953
-2.0647206,0.785513229498968,1.0,0.8798738833415987
-1.9965655,0.7855623670711873,1.0,0.8799047085196866
-1.9825965,0.7856115107913669,1.0,0.8799355358576861
-1.9820412,0.7856606606606606,1.0,0.8799663653558242
-1.9773604,0.7857098166802228,1.0,0.879997197014328
-1.9753426,0.7857589788512076,1.0,0.8800280308334245
-1.9672288,0.7857455728677805,0.9999203694855868,0.8799887872730626
-1.9440175,0.7857947434292866,0.9999203694855868,0.880019622958369
-1.9323565,0.7858439201451906,0.9999203694855868,0.8800504608047774
-1.9160978,0.7858931030166479,0.9999203694855868,0.8800813008125152
-1.9107734,0.7859422920448145,0.9999203694855868,0.8801121429818095
-1.908162,0.7859914872308462,0.9999203694855868,0.8801429873128876
-1.8985499,0.7860406885758998,0.9999203694855868,0.8801738338059767
-1.8978935,0.7860898960811319,0.9999203694855868,0.8802046824613043
-1.8816031,0.7861391097476993,0.9999203694855868,0.8802355332790978
-1.8804673,0.7861883295767593,0.9999203694855868,0.8802663862595841
-1.8581225,0.7862375555694696,0.9999203694855868,0.8802972414029914
-1.8571221,0.7862867877269881,0.9999203694855868,0.8803280987095463
-1.8522238,0.7863360260504728,0.9999203694855868,0.8803589581794768
