threshold,precision,recall,f_beta
-2.6051915,0.784875,1.0,0.8794733524751708
-2.5817008,0.7849240577536096,1.0,0.879504149595053
-2.4677703,0.784973121640205,1.0,0.8795349488718984
-2.366496,0.7850221916609365,1.0,0.8795657503059333
-2.3344162,0.7850712678169542,1.0,0.8795965538973849
-2.3048534,0.7851203501094092,1.0,0.8796273596464795
-2.3044903,0.7851694385394523,1.0,0.8796581675534438
-2.2831788,0.7852185331082349,1.0,0.8796889776185047
-2.2729,0.7852676338169085,1.0,0.8797197898418889
-2.2514172,0.7853167406666249,1.0,0.8797506042238233
-2.2496498,0.7853658536585366,1.0,0.8797814207645345
-2.2001047,0.7854149727937957,1.0,0.8798122394642496
-2.1965892,0.7854640980735552,1.0,0.8798430603231953
-2.1781387,0.785513229498968,1.0,0.8798738833415987
-2.1657298,0.7855623670711873,1.0,0.8799047085196866
-2.1475341,0.7856115107913669,1.0,0.8799355358576861
-2.1196911,0.7856606606606606,1.0,0.8799663653558242
-2.0908282,0.7857098166802228,1.0,0.879997197014328
-2.0845351,0.7857589788512076,1.0,0.8800280308334245
-2.048655,0.78580814717477,1.0,0.8800588668133408
-2.0456889,0.7858573216520651,1.0,0.8800897049543044
-2.03851,0.7859065022842481,1.0,0.8801205452565418
-2.0329523,0.7859556890724747,1.0,0.880151387720281
-2.019619,0.7860048820179008,1.0,0.8801822323457487
-2.0131226,0.7860540811216825,1.0,0.8802130791331723
-2.0120509,0.7861032863849765,1.0,0.8802439280827792
-2.002399,0.7861524978089395,1.0,0.8802747791947967
-1.9975774,0.7862017153947286,1.0,0.8803056324694521
-1.9907067,0.7862509391435011,1.0,0.8803364879069729
-1.983846,0.7863001690564148,1.0,0.8803673455075866
-1.9724007,0.7863494051346275,1.0,0.8803982052715206
-1.9661515,0.7863986473792974,1.0,0.8804290671990024
-1.960226,0.7864478957915831,1.0,0.8804599312902595
-1.9532809,0.7864971503726436,1.0,0.8804907975455194
-1.9520743,0.7865464111236378,1.0,0.8805216659650098
-1.9401953,0.786595678045725,1.0,0.8805525365489584
-1.9375739,0.7866449511400652,1.0,0.8805834092975927
-1.9267366,0.786694230407818,1.0,0.8806142842111406
-1.9234807,0.7867435158501441,1.0,0.8806451612898297
-1.9176953,0.7867928074682038,1.0,0.8806760405338877
-1.9160674,0.7868421052631579,1.0,0.8807069219435425
-1.902879,0.7868914092361676,1.0,0.8807378055190217
-1.8961947,0.7869407193883945,1.0,0.8807686912605535
-1.8921242,0.7869900357210002,1.0,0.8807995791683656
-1.8883426,0.7870393582351467,1.0,0.8808304692426859
-1.8865316,0.7870886869319962,1.0,0.8808613614837423
-1.8846564,0.7871380218127115,1.0,0.8808922558917629
-1.8817773,0.7871873628784555,1.0,0.8809231524669757
-1.8799376,0.7871740220661986,0.9999203694855868,0.8808839003853365
-1.8627617,0.7872233715754499,0.9999203694855868,0.8809147988349626
-1.8597596,0.7872727272727272,0.9999203694855868,0.8809456994522922
-1.8512492,0.7873220891591949,0.9999203694855868,0.8809766022375538
-1.8506782,0.7873714572360171,0.9999203694855868,0.8810075071909755
-1.8504293,0.7874208315043582,0.9999203694855868,0.8810384143127853
-1.8445027,0.7874702119653831,0.9999203694855868,0.8810693236032118
-1.8366754,0.7875195986202571,0.9999203694855868,0.8811002350624828
-1.8280492,0.7875689914701455,0.9999203694855868,0.881131148690827
-1.8214512,0.787618390516214,0.9999203694855868,0.8811620644884723
-1.8167722,0.7876677957596286,0.9999203694855868,0.8811929824556473
-1.8162923,0.7877172072015557,0.9999203694855868,0.8812239025925803
-1.8160961,0.7877666248431618,0.9999203694855868,0.8812548248995
-1.8124743,0.787816048685614,0.9999203694855868,0.8812857493766344
-1.8097515,0.7878654787300791,0.9999203694855868,0.8813166760242122
-1.8091171,0.7879149149777248,0.9999203694855868,0.8813476048424619
-1.8076501,0.7879643574297188,0.9999203694855868,0.8813785358316119
-1.8072748,0.7880138060872294,0.9999203694855868,0.881409468991891
-1.805295,0.7880632609514246,0.9999203694855868,0.8814404043235277
-1.8024638,0.7881127220234733,0.9999203694855868,0.8814713418267507
-1.796206,0.7881621893045443,0.9999203694855868,0.8815022815017884
-1.7938907,0.7882116627958069,0.9999203694855868,0.8815332233488699
-1.7900817,0.7882611424984306,0.9999203694855868,0.8815641673682235
-1.785713,0.7883106284135852,0.9999203694855868,0.8815951135600784
-1.7856247,0.788360120542441,0.9999203694855868,0.8816260619246632
-1.78353,0.7884096188861681,0.9999203694855868,0.8816570124622065
-1.7825952,0.7884591234459375,0.9999203694855868,0.8816879651729376
-1.7818899,0.78850863422292,0.9999203694855868,0.8817189200570852
-1.7808433,0.7885581512182869,0.9999203694855868,0.8817498771148781
-1.7796359,0.7886076744332098,0.9999203694855868,0.8817808363465454
-1.7766232,0.7886572038688607,0.9999203694855868,0.8818117977523159
-1.7745674,0.7887067395264117,0.9999203694855868,0.8818427613324189
-1.7687929,0.7887562814070351,0.9999203694855868,0.8818737270870833
-1.763654,0.788805829511904,0.9999203694855868,0.8819046950165381
-1.7630317,0.7888553838421912,0.9999203694855868,0.8819356651210126
-1.7623932,0.7889049443990702,0.9999203694855868,0.881966637400736
-1.7623398,0.7889545111837145,0.9999203694855868,0.8819976118559374
-1.7567604,0.7890040841972982,0.9999203694855868,0.8820285884868457
-1.752954,0.7890536634409954,0.9999203694855868,0.8820595672936906
-1.7417474,0.7891032489159806,0.9999203694855868,0.8820905482767011
-1.7412405,0.7891528406234288,0.9999203694855868,0.8821215314361068
-1.7391303,0.7892024385645151,0.9999203694855868,0.8821525167721368
